                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.56904,                0.78108,                0.86842,                0.94918,                 0.9732,                    0.5,                  0.995,                0.82571,                 0.9732,                    0.5,                  0.995,                0.86236,                0.57506,                 1.0229,                 1.9079,                0.85782,             0.00030502,             0.00030502,             0.00030502
                     26,                0.51814,                0.71263,                 0.8132,                0.88287,                 0.9732,                    0.5,                  0.995,                0.82571,                 0.9732,                    0.5,                  0.995,                0.86236,                0.57506,                 1.0229,                 1.9079,                0.85782,              0.0003136,              0.0003136,              0.0003136
                     27,                0.43761,                0.67831,                0.79392,                0.91864,                0.97185,                    0.5,                  0.995,                 0.8048,                0.97185,                    0.5,                  0.995,                0.83448,                0.57959,                 1.0373,                 1.7424,                   0.88,             0.00032186,             0.00032186,             0.00032186
                     28,                0.51429,                0.70996,                0.77506,                0.90665,                0.97185,                    0.5,                  0.995,                 0.8048,                0.97185,                    0.5,                  0.995,                0.83448,                0.57959,                 1.0373,                 1.7424,                   0.88,             0.00032978,             0.00032978,             0.00032978
                     29,                 0.5626,                0.99044,                 0.8362,                 0.9126,                0.97119,                    0.5,                  0.995,                0.80504,                0.97119,                    0.5,                  0.995,                0.83731,                0.55592,                 1.0243,                 1.6938,                0.87254,             0.00033737,             0.00033737,             0.00033737
                     30,                0.58056,                0.72788,                0.80645,                0.98132,                0.97119,                    0.5,                  0.995,                0.80504,                0.97119,                    0.5,                  0.995,                0.83731,                0.55592,                 1.0243,                 1.6938,                0.87254,             0.00034464,             0.00034464,             0.00034464
                     31,                0.50208,                0.75323,                0.74613,                0.87353,                0.97111,                    0.5,                  0.995,                0.81767,                0.97111,                    0.5,                  0.995,                 0.8362,                0.53848,                0.99841,                 1.6674,                 0.8566,             0.00035157,             0.00035157,             0.00035157
                     32,                0.56778,                0.67773,                0.73416,                0.88432,                0.97111,                    0.5,                  0.995,                0.81767,                0.97111,                    0.5,                  0.995,                 0.8362,                0.53848,                0.99841,                 1.6674,                 0.8566,             0.00035817,             0.00035817,             0.00035817
                     33,                0.50179,                0.66039,                0.70995,                0.89852,                0.97158,                    0.5,                  0.995,                0.83692,                0.97158,                    0.5,                  0.995,                0.85037,                0.52421,                 1.0134,                 1.6165,                0.83385,             0.00036445,             0.00036445,             0.00036445
                     34,                0.46911,                0.66657,                0.67083,                0.89539,                0.97158,                    0.5,                  0.995,                0.83692,                0.97158,                    0.5,                  0.995,                0.85037,                0.52421,                 1.0134,                 1.6165,                0.83385,             0.00037039,             0.00037039,             0.00037039
                     35,                0.56453,                0.77234,                0.85816,                0.94861,                0.97193,                    0.5,                  0.995,                 0.8437,                0.97193,                    0.5,                  0.995,                0.84122,                0.53624,                 1.0308,                 1.5807,                0.83277,               0.000376,               0.000376,               0.000376
                     36,                0.48673,                0.74312,                0.74764,                0.89639,                0.97193,                    0.5,                  0.995,                 0.8437,                0.97193,                    0.5,                  0.995,                0.84122,                0.53624,                 1.0308,                 1.5807,                0.83277,             0.00038128,             0.00038128,             0.00038128
