                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6781,                 1.5451,                 1.5659,                0.83088,                0.81941,                0.80981,                0.29585,                 2.0946,                 2.2349,                 2.5817,             0.00076306,             0.00076306,             0.00076306
                     36,                 1.1487,                 1.4114,                 1.3142,                0.88222,                0.88889,                0.84106,                 0.3039,                 2.2204,                 2.0189,                 2.6404,             0.00077346,             0.00077346,             0.00077346
                     37,                 1.4112,                 1.7414,                 1.4741,                0.88222,                0.88889,                0.84106,                 0.3039,                 2.2204,                 2.0189,                 2.6404,              0.0007832,              0.0007832,              0.0007832
                     38,                 1.5848,                 1.5098,                 1.5176,                0.88405,                0.88889,                 0.8285,                0.33787,                 2.2291,                 1.9302,                 2.6583,             0.00079228,             0.00079228,             0.00079228
                     39,                 1.2769,                 1.3909,                 1.4813,                0.86781,                0.88889,                0.84885,                0.34278,                 2.1335,                 1.9995,                 2.5288,              0.0008007,              0.0008007,              0.0008007
                     40,                 1.1765,                 1.3795,                  1.276,                0.86781,                0.88889,                0.84885,                0.34278,                 2.1335,                 1.9995,                 2.5288,             0.00080846,             0.00080846,             0.00080846
                     41,                 1.5205,                 2.2123,                 1.6454,                0.93298,                0.77363,                0.86048,                0.35463,                 2.0598,                 1.9276,                 2.4304,             0.00081556,             0.00081556,             0.00081556
                     42,                 1.3741,                 1.3112,                 1.3385,                0.82817,                0.83333,                0.82054,                0.35858,                 2.0644,                 1.9696,                 2.4217,               0.000822,               0.000822,               0.000822
                     43,                 1.2656,                 1.4034,                 1.6033,                0.82817,                0.83333,                0.82054,                0.35858,                 2.0644,                 1.9696,                 2.4217,             0.00082778,             0.00082778,             0.00082778
                     44,                 1.5706,                 1.7181,                 1.7039,                 0.8588,                0.83333,                0.83862,                0.36242,                 2.0656,                 1.8781,                 2.3936,              0.0008329,              0.0008329,              0.0008329
