                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.52676,                0.73626,                0.91713,                0.99738,                    0.5,                 0.9391,                0.81209,                0.56627,                 1.8931,                0.87437,             0.00038128,             0.00038128,             0.00038128
                     37,                 0.4636,                 0.6915,                0.90388,                0.99908,                    0.5,                0.91663,                0.72641,                0.60211,                 1.9353,                0.88172,             0.00038624,             0.00038624,             0.00038624
                     38,                0.44361,                0.69694,                 0.9066,                0.99908,                    0.5,                0.91663,                0.72641,                0.60211,                 1.9353,                0.88172,             0.00039086,             0.00039086,             0.00039086
                     39,                0.46638,                0.69801,                0.90566,                0.99902,                    0.5,                0.88515,                0.68443,                0.61784,                  1.927,                0.88892,             0.00039515,             0.00039515,             0.00039515
                     40,                 0.4781,                0.71099,                0.92701,                0.99902,                    0.5,                0.88515,                0.68443,                0.61784,                  1.927,                0.88892,             0.00039911,             0.00039911,             0.00039911
                     41,                0.56908,                0.75599,                0.92907,                      1,                0.49754,                 0.9006,                0.67634,                0.63981,                  1.937,                0.89886,             0.00040275,             0.00040275,             0.00040275
                     42,                0.42052,                0.67484,                 0.8938,                      1,                0.49754,                 0.9006,                0.67634,                0.63981,                  1.937,                0.89886,             0.00040605,             0.00040605,             0.00040605
                     43,                0.48731,                0.70188,                 0.9459,                      1,                0.48978,                0.96855,                0.79867,                0.65852,                 2.0455,                0.90023,             0.00040902,             0.00040902,             0.00040902
                     44,                0.42829,                0.62913,                0.88658,                      1,                0.48978,                0.96855,                0.79867,                0.65852,                 2.0455,                0.90023,             0.00041166,             0.00041166,             0.00041166
                     45,                0.43665,                0.62831,                0.87044,                0.95592,                    0.5,                0.99147,                0.82091,                0.64766,                 2.0643,                0.91716,             0.00041398,             0.00041398,             0.00041398
                     46,                0.49292,                 0.7262,                0.92719,                0.95592,                    0.5,                0.99147,                0.82091,                0.64766,                 2.0643,                0.91716,             0.00041596,             0.00041596,             0.00041596
                     47,                0.41996,                0.61472,                0.83711,                0.94062,                    0.5,                  0.995,                0.86167,                 0.5956,                 1.8818,                 0.8939,             0.00041761,             0.00041761,             0.00041761
                     48,                0.46315,                 0.6658,                0.90717,                0.94062,                    0.5,                  0.995,                0.86167,                 0.5956,                 1.8818,                 0.8939,             0.00041893,             0.00041893,             0.00041893
                     49,                 0.4419,                0.65096,                0.88972,                0.97171,                    0.5,                  0.995,                0.87507,                0.53378,                 1.6647,                0.85358,             0.00041992,             0.00041992,             0.00041992
                     50,                0.47664,                0.66851,                0.92983,                0.97171,                    0.5,                  0.995,                0.87507,                0.53378,                 1.6647,                0.85358,             0.00042059,             0.00042059,             0.00042059
                     51,                0.46014,                0.65415,                 0.9038,                0.97103,                    0.5,                  0.995,                0.87257,                0.51276,                 1.6121,                0.84852,             0.00042092,             0.00042092,             0.00042092
                     52,                0.46084,                0.64777,                0.88885,                0.97103,                    0.5,                  0.995,                0.87257,                0.51276,                 1.6121,                0.84852,             0.00042092,             0.00042092,             0.00042092
                     53,                 0.5015,                0.67323,                0.96707,                0.97103,                    0.5,                  0.995,                0.87257,                0.51276,                 1.6121,                0.84852,             0.00042059,             0.00042059,             0.00042059
                     54,                0.46059,                0.61657,                0.89637,                0.97202,                    0.5,                  0.995,                0.88576,                0.50631,                 1.6713,                0.84213,             0.00041993,             0.00041993,             0.00041993
                     55,                0.43733,                0.59769,                 0.8831,                0.97202,                    0.5,                  0.995,                0.88576,                0.50631,                 1.6713,                0.84213,             0.00041894,             0.00041894,             0.00041894
                     56,                0.43265,                 0.6329,                0.85498,                0.97202,                    0.5,                  0.995,                0.88576,                0.50631,                 1.6713,                0.84213,             0.00041763,             0.00041763,             0.00041763
                     57,                0.41142,                0.58975,                0.85985,                0.99708,                    0.5,                  0.995,                0.88293,                0.52548,                 1.7718,                0.84259,             0.00041598,             0.00041598,             0.00041598
                     58,                0.50676,                0.69019,                0.91705,                0.99708,                    0.5,                  0.995,                0.88293,                0.52548,                 1.7718,                0.84259,               0.000414,               0.000414,               0.000414
                     59,                0.41251,                0.61222,                0.87623,                0.99708,                    0.5,                  0.995,                0.88293,                0.52548,                 1.7718,                0.84259,             0.00041169,             0.00041169,             0.00041169
                     60,                0.49015,                 0.6543,                0.89765,                 0.9977,                    0.5,                  0.995,                0.87261,                 0.5341,                 1.6189,                0.85013,             0.00040905,             0.00040905,             0.00040905
                     61,                0.44824,                 0.6466,                0.90141,                 0.9977,                    0.5,                  0.995,                0.87261,                 0.5341,                 1.6189,                0.85013,             0.00040608,             0.00040608,             0.00040608
                     62,                0.43488,                 0.5975,                0.86375,                 0.9977,                    0.5,                  0.995,                0.87261,                 0.5341,                 1.6189,                0.85013,             0.00040278,             0.00040278,             0.00040278
                     63,                0.41129,                0.63617,                0.87398,                0.99705,                    0.5,                  0.995,                0.86995,                0.52789,                 1.4645,                 0.8592,             0.00039915,             0.00039915,             0.00039915
                     64,                0.41948,                0.57964,                0.87604,                0.99705,                    0.5,                  0.995,                0.86995,                0.52789,                 1.4645,                 0.8592,             0.00039519,             0.00039519,             0.00039519
                     65,                0.50874,                0.65471,                 0.8725,                0.99705,                    0.5,                  0.995,                0.86995,                0.52789,                 1.4645,                 0.8592,              0.0003909,              0.0003909,              0.0003909
                     66,                0.46315,                 0.5947,                0.85677,                0.89521,                    0.5,                  0.995,                0.87254,                0.48901,                 1.3489,                 0.8467,             0.00038629,             0.00038629,             0.00038629
                     67,                0.44354,                   0.61,                0.88958,                0.89521,                    0.5,                  0.995,                0.87254,                0.48901,                 1.3489,                 0.8467,             0.00038134,             0.00038134,             0.00038134
                     68,                0.41728,                0.60742,                0.87299,                0.89521,                    0.5,                  0.995,                0.87254,                0.48901,                 1.3489,                 0.8467,             0.00037606,             0.00037606,             0.00037606
                     69,                0.43003,                0.58516,                0.87525,                0.91421,                0.57117,                  0.995,                0.88857,                0.46607,                 1.2909,                0.83106,             0.00037045,             0.00037045,             0.00037045
                     70,                0.43796,                0.61761,                0.90063,                0.91421,                0.57117,                  0.995,                0.88857,                0.46607,                 1.2909,                0.83106,             0.00036451,             0.00036451,             0.00036451
                     71,                0.42702,                0.60681,                0.89242,                0.91421,                0.57117,                  0.995,                0.88857,                0.46607,                 1.2909,                0.83106,             0.00035824,             0.00035824,             0.00035824
                     72,                0.46108,                0.68946,                0.93797,                0.95775,                0.76821,                  0.995,                 0.8964,                0.46294,                 1.3175,                0.81403,             0.00035164,             0.00035164,             0.00035164
                     73,                 0.4377,                 0.5651,                0.91949,                0.95775,                0.76821,                  0.995,                 0.8964,                0.46294,                 1.3175,                0.81403,             0.00034471,             0.00034471,             0.00034471
                     74,                0.39611,                0.55509,                0.86527,                0.95775,                0.76821,                  0.995,                 0.8964,                0.46294,                 1.3175,                0.81403,             0.00033745,             0.00033745,             0.00033745
                     75,                0.41449,                0.60222,                0.86582,                0.97128,                0.96961,                  0.995,                0.90719,                0.47237,                 1.3104,                0.80889,             0.00032986,             0.00032986,             0.00032986
                     76,                0.42162,                0.60681,                0.88678,                0.97128,                0.96961,                  0.995,                0.90719,                0.47237,                 1.3104,                0.80889,             0.00032194,             0.00032194,             0.00032194
                     77,                0.47338,                0.63686,                  0.919,                0.97128,                0.96961,                  0.995,                0.90719,                0.47237,                 1.3104,                0.80889,             0.00031369,             0.00031369,             0.00031369
